Role,Location,Q3,Q3_num,Q4,Q4_num,Q5,Q5_num,Q6,Q6_num,Q7,Q7_num,Q8,Q8_num,Q9,Q9_cat,Q10,Q10_cat,Q11,Q11_num,Q12,Q12_cat
Painter,South Carolina - Florence Shop,Agree,80,Disagree,40,Agree,80,Strongly agree,100,Agree,80,Strongly agree,100,Growing opportunity to learn ,Accomplishment & Growth,15 mins break   ,Working Conditions,Satisfied,80,,Blank
Crane operator,South Carolina - Florence Shop,Agree,80,Strongly disagree,20,Agree,80,Strongly agree,100,Neither agree nor disagree,60,Agree,80,Consistency ,People & Culture,Nothing ,No Compliants,Satisfied,80,n/a,Blank
Crane operator,South Carolina - Florence Shop,Agree,80,Agree,80,Agree,80,Strongly agree,100,Agree,80,Strongly agree,100,The thing I most enjoy is being able to get my work done in peace most of the time without being distracted or held back by other coworkers.,Nature of Work,There really isn’t anything I don’t enjoy here at SteelFab ,No Compliants,Satisfied,80,I would personally change the phone policy to where if you have to step away from your work area to take a call then you should be able to without any repercussions. Yes still not allow phone usage in the shop but if the employee needs to step away to handle something then they should be able to.,Work Policy & Culture
Leadperson,South Carolina - Florence Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Environment ,People & Culture,Heat,Working Conditions,Extremely satisfied,100,Equipment ,Improved Equipment & Working Conditions
Crane operator,South Carolina - Florence Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,My job,People & Culture,Need more bathrooms,Working Conditions,Extremely satisfied,100,Nothing ,No Changes
Crane operator,South Carolina - Florence Shop,Agree,80,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Bonus money ,Pay & Benefits,People attitude,People & Culture,Satisfied,80,How people talk to you with no respect some time they think they are big then you,Work Policy & Culture
Machine operator,South Carolina - Florence Shop,Strongly agree,100,Disagree,40,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,The people and the work environment ,People & Culture,No comment ,No Compliants,Satisfied,80,It’s fair ,No Changes
Crane operator,South Carolina - Florence Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,The people I work with,People & Culture,The heat ,Working Conditions,Satisfied,80,,Blank
Welder,South Carolina - Florence Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Company seems Generous ,Pay & Benefits,Working Saturday ,Schedule & Hours,Satisfied,80,Not sure ,No Changes
Crane operator,South Carolina - Florence Shop,Strongly agree,100,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Agree,80,Friendly environment ,People & Culture,Nothing ,No Compliants,Satisfied,80,Better ventilation system and create a grass roots program ,Improved Equipment & Working Conditions
Welder,South Carolina - Florence Shop,Strongly agree,100,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,I just welding !!!,Nature of Work,Nothing ,No Compliants,Extremely satisfied,100,Nothing ,No Changes
Welder,South Carolina - Florence Shop,Agree,80,Agree,80,Agree,80,Agree,80,Agree,80,Agree,80,Nothing ,Other,The weather,Working Conditions,Satisfied,80,,Blank
Welder,South Carolina - Florence Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Agree,80,Strongly agree,100,The people ,People & Culture,Heat and cold ,Working Conditions,Extremely satisfied,100,N/A,No Changes
Detail coordinator,South Carolina - Florence Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,A good place to work ,People & Culture,Hot,Working Conditions,Satisfied,80,The hot in here,Improved Equipment & Working Conditions
Leadperson,South Carolina - Florence Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Agree,80,Working and learning ,Nature of Work,The climate ,Working Conditions,Extremely satisfied,100,N/A,No Changes
Crane operator,South Carolina - Florence Shop,Agree,80,Disagree,40,Strongly agree,100,Agree,80,Agree,80,Strongly agree,100,Coming to work ,Nature of Work,The heat,Working Conditions,Extremely satisfied,100,None,No Changes
Painter,South Carolina - Florence Shop,Strongly agree,100,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,The ability to make a fair and honest living. Working with great people,Pay & Benefits,The heat,Working Conditions,Extremely satisfied,100,Air conditioned environment. ,Improved Equipment & Working Conditions
Painter,South Carolina - Florence Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Keeping to myself,Nature of Work,Heat,Working Conditions,Satisfied,80,N/a,No Changes
Other,South Carolina - Florence Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Agree,80,The hours and the advancement opportunities to apply myself and duties on the job.,Accomplishment & Growth,Not being able to finish certain assignments ,Schedule & Hours,Satisfied,80,I would not change a thing ,No Changes
Welder,South Carolina - Florence Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Agree,80,Agree,80,Agree,80,Getting paid,Pay & Benefits,Weather,Working Conditions,Satisfied,80,Make shop climate control,Improved Equipment & Working Conditions
Leadperson,South Carolina - Florence Shop,Agree,80,Neither agree nor disagree,60,Strongly agree,100,Agree,80,Agree,80,Strongly agree,100,Getting paid,Pay & Benefits,The smoke,Working Conditions,Satisfied,80,More bathrooms and Communication,Improved Equipment & Working Conditions
Machine operator,South Carolina - Florence Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Strongly agree,100,Knock off time ,Other,To many hours ,Schedule & Hours,Satisfied,80,,Blank
Machine operator,South Carolina - Florence Shop,Disagree,40,Neither agree nor disagree,60,Agree,80,Disagree,40,Disagree,40,Neither agree nor disagree,60,Getting off,Other,Coming to work,Other,Neither satisfied nor dissatisfied,60,Leadership ,Leadership Improvement
Fitter,South Carolina - Florence Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,I enjoy fitting the most I like to build stuff so it’s fun for me ,Nature of Work,The pay ,Pay & Benefits,Satisfied,80,The pay ,Better Pay & Benefits
Fitter,South Carolina - Florence Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Strongly agree,100,Agree,80,Strongly agree,100,The patience that my team lead has to teach me the things I don’t know ,People & Culture,The heat,Working Conditions,Satisfied,80,,Blank
Fitter,South Carolina - Florence Shop,Agree,80,Disagree,40,Agree,80,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Learning ,Accomplishment & Growth,The heat/cold,Working Conditions,Satisfied,80,The heat ,Improved Equipment & Working Conditions
Fitter,South Carolina - Florence Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,I enjoy what I do and steel fab let's me just do what I know how to do. ,Nature of Work,Nothing,No Compliants,Extremely satisfied,100,Nothing,No Changes
Fitter,South Carolina - Florence Shop,Agree,80,Agree,80,Agree,80,Agree,80,Agree,80,Agree,80,The interactions with my coworkers  ,People & Culture,The mistakes that i make and having to fix them  ,Other,Satisfied,80,,Blank
Fitter,South Carolina - Florence Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Strongly agree,100,Agree,80,Great place to work. Great pay and 401k options. Great work environment .,People & Culture,Climate    hot in summer. Freezing in winter,Working Conditions,Extremely satisfied,100,"Uniforms, better climate situation",Improved Equipment & Working Conditions
Fitter,South Carolina - Florence Shop,Strongly agree,100,Disagree,40,Agree,80,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,My co-workers and pay,People & Culture,Heat/cold conditions ,Working Conditions,Satisfied,80,Late time and UTO,Work Policy & Culture
Fitter,South Carolina - Florence Shop,Agree,80,Agree,80,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,Getting it rightish.,Nature of Work,Getting it wrong.,Other,Neither satisfied nor dissatisfied,60,,Blank
Fitter,South Carolina - Florence Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,Learning to weld and the friendly environment ,Nature of Work,The heat ,Working Conditions,Extremely satisfied,100,Adding fans for the employees to stay cool while working,Improved Equipment & Working Conditions
Fitter,South Carolina - Florence Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Disagree,40,Disagree,40,The guys I work with and the pay is ok,People & Culture,"The heat, not enough overtime and some supervisors take there job to far.being disrespectful to the men under them.",Working Conditions,Satisfied,80,More overtime and better opportunities to be able to move up or training for other positions.,Better Pay & Benefits
Fitter,South Carolina - Florence Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Strongly agree,100,I get to stay pretty busy ,Nature of Work,Slow times,Schedule & Hours,Satisfied,80,A little better training,Training & Career Development
Fitter,South Carolina - Florence Shop,Agree,80,Strongly disagree,20,Strongly agree,100,Agree,80,Neither agree nor disagree,60,Agree,80,The people ,People & Culture,Heat in the summer and cold in the winter. ,Working Conditions,Satisfied,80,Better communication from supervisor,Leadership Improvement
Fitter,South Carolina - Florence Shop,Agree,80,Agree,80,Agree,80,Agree,80,Agree,80,Agree,80,Getting along with my coworkers,People & Culture,Not enough hours,Schedule & Hours,Satisfied,80,Communicate with people,Leadership Improvement
Fitter,South Carolina - Florence Shop,Neither agree nor disagree,60,Disagree,40,Agree,80,Agree,80,Strongly disagree,20,Strongly disagree,20,My pay check,Pay & Benefits,The heat,Working Conditions,Satisfied,80,Climate control ,Improved Equipment & Working Conditions
Fitter,South Carolina - Florence Shop,Neither agree nor disagree,60,Agree,80,Strongly agree,100,Agree,80,Agree,80,Neither agree nor disagree,60,People you work with ,People & Culture,Stuff being patched instead of fixed ,People & Culture,Extremely satisfied,100,Would bring back the uto   Enforce the rules ,Work Policy & Culture
Fitter,South Carolina - Florence Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Feels like home.,People & Culture,Not enough PTO.,Pay & Benefits,Extremely satisfied,100,Bigger bonus. And more PTO ,Better Pay & Benefits
Fitter,South Carolina - Florence Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Learning new things ,Accomplishment & Growth,Learning new things ,Other,Satisfied,80,,Blank
Fitter,South Carolina - Florence Shop,Strongly agree,100,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Strongly agree,100,The fact that I can learn more ,Accomplishment & Growth,Bad leadership wrong people in leadership positions ,Management & Leadership,Extremely satisfied,100,Nothing really it’s great ,No Changes
Fitter,South Carolina - Florence Shop,Agree,80,Disagree,40,Neither agree nor disagree,60,Neither agree nor disagree,60,Disagree,40,Agree,80,The navy program ,Nature of Work,Having to fix others mistakes ,People & Culture,Neither satisfied nor dissatisfied,60,Ones in leadership rolls not give. A position cause of friendship ,Leadership Improvement
Fitter,South Carolina - Florence Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Neither agree nor disagree,60,Strongly agree,100,Pay,Pay & Benefits,The weather ,Working Conditions,Extremely satisfied,100,,Blank
Fitter,South Carolina - Florence Shop,Agree,80,Agree,80,Neither agree nor disagree,60,Strongly agree,100,Agree,80,Neither agree nor disagree,60,Working,Nature of Work,Work,Other,Satisfied,80,,Blank
Fitter,South Carolina - Florence Shop,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Strongly disagree,20,Agree,80,My job,Nature of Work,Going behind someone else ,People & Culture,Satisfied,80,,Blank
Fitter,South Carolina - Florence Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Leaning and growing ,Accomplishment & Growth,Weather ,Working Conditions,Neither satisfied nor dissatisfied,60,,Blank
Fitter,South Carolina - Florence Shop,Agree,80,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Agree,80,Agree,80,The type of work ,Nature of Work,Nothing really ,No Compliants,Satisfied,80,,Blank
Fitter,South Carolina - Florence Shop,Neither agree nor disagree,60,Disagree,40,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Learning experience,Accomplishment & Growth,Everything,Other,Satisfied,80,,Blank
Fitter,South Carolina - Florence Shop,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Strongly disagree,20,Strongly agree,100,Machine operating and fitting,Nature of Work,The crane,Equipment & Resources,Satisfied,80,,Blank
Fitter,South Carolina - Florence Shop,Strongly agree,100,Strongly disagree,20,Neither agree nor disagree,60,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,The bond between everyone.,People & Culture,No complaining words,No Compliants,Extremely satisfied,100,,Blank
Fitter,South Carolina - Florence Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Pay day ,Pay & Benefits,Heat ,Working Conditions,Satisfied,80,,Blank
Fitter,South Carolina - Florence Shop,Agree,80,Agree,80,Strongly agree,100,Agree,80,Strongly disagree,20,Strongly agree,100,The people,People & Culture,Need more bathrooms,Working Conditions,Satisfied,80,More bathrooms,Improved Equipment & Working Conditions
Fitter,South Carolina - Florence Shop,Neither agree nor disagree,60,Strongly agree,100,Neither agree nor disagree,60,Neither agree nor disagree,60,Strongly disagree,20,Neither agree nor disagree,60,Paycheck ,Pay & Benefits,N/a,No Compliants,Neither satisfied nor dissatisfied,60,,Blank
Maintenance,South Carolina - Florence Shop,Agree,80,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Strongly agree,100,Agree,80,The ppl..,People & Culture,Communication ,Management & Leadership,Extremely satisfied,100,Communication and enforcing the rules and regulations..,Leadership Improvement
Painter,South Carolina - Florence Shop,Strongly agree,100,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Neither agree nor disagree,60,The Paycheck,Pay & Benefits,The equipment ,Equipment & Resources,Satisfied,80,,Blank
Leadperson,South Carolina - Florence Shop,Agree,80,Disagree,40,Strongly agree,100,Agree,80,Neither agree nor disagree,60,Strongly agree,100,Great employees ,People & Culture,Cramped department ,Working Conditions,Satisfied,80,Bring back evaluations and uto,Work Policy & Culture
Supervisor,South Carolina - Florence Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,The company  working for them they do care about  you  and I like working  on different  things,People & Culture,Heat in the summer and cold in winter ,Working Conditions,Extremely satisfied,100,Need ac  and a roll up door on the end of my bay ,Improved Equipment & Working Conditions
Welder,South Carolina - Florence Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Agree,80,Strongly agree,100,Agree,80,My hours,Pay & Benefits,No overtime and the heat,Schedule & Hours,Extremely satisfied,100,,Blank
Welder,South Carolina - Florence Shop,Strongly agree,100,Disagree,40,Agree,80,Strongly agree,100,Disagree,40,Strongly agree,100,The welding ,Nature of Work,Nothing,No Compliants,Satisfied,80,,Blank
Maintenance,South Carolina - Florence Shop,Agree,80,Agree,80,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,The people ,People & Culture,The heat,Working Conditions,Satisfied,80,,Blank
Maintenance,South Carolina - Florence Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Strongly agree,100,The people,People & Culture,Summer time it’s hot ,Working Conditions,Extremely satisfied,100,,Blank
Maintenance,South Carolina - Florence Shop,Agree,80,Agree,80,Agree,80,Agree,80,Agree,80,Agree,80,Working with some good people getting the jobs we get done ,People & Culture,Don't have any idea ,No Compliants,Satisfied,80,Started like my job ,Other
Machine operator,South Carolina - Florence Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Payday ,Pay & Benefits,"No credit union like competitive company’s, excessive hours with no work.",Other,Neither satisfied nor dissatisfied,60,,Blank
Leadperson,South Carolina - Florence Shop,Strongly agree,100,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Strongly agree,100,My position steel fabrication I love steel work and I love the way Steel Fab corporation treat their employees,Nature of Work,Working long hours,Schedule & Hours,Extremely satisfied,100,Nothing comes to mine,No Changes
Machine operator,South Carolina - Florence Shop,Neither agree nor disagree,60,Disagree,40,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,The pair of boots we get,Nature of Work,Having to pick up the slack behind people,People & Culture,Satisfied,80,"Leadman be a leadman and show us what they expect, both shifts work equally ",Leadership Improvement
Forklift operator,South Carolina - Florence Shop,Agree,80,Agree,80,Agree,80,Agree,80,Disagree,40,Agree,80,The career opportunity ,Accomplishment & Growth,The lack of respect ,People & Culture,Satisfied,80,"Prioritizing respect,common courtesy, & integrity ",Work Policy & Culture
Maintenance,South Carolina - Florence Shop,Strongly agree,100,Agree,80,Strongly agree,100,Agree,80,Neither agree nor disagree,60,Agree,80,Pay an people ,Pay & Benefits,Heat ,Working Conditions,Extremely satisfied,100,Keep office and commercial construction work separate from maintenance mechanic work,Work Policy & Culture
Forklift operator,South Carolina - Florence Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Building loads with alot of pieces so they know I was performing when they can not see me,Nature of Work,The forklifts breaking down,Equipment & Resources,Extremely satisfied,100,More teamwork,Work Policy & Culture
Welder,South Carolina - Florence Shop,Agree,80,Disagree,40,Strongly agree,100,Strongly agree,100,Neither agree nor disagree,60,Agree,80,Making good money getting good hours,Pay & Benefits,Idk,No Compliants,Extremely satisfied,100,Idk,No Changes
Maintenance,South Carolina - Florence Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Strongly agree,100,Agree,80,Strongly agree,100,My Job,Nature of Work,Paper work ,Other,Extremely satisfied,100,,Blank
Machine operator,South Carolina - Florence Shop,Strongly agree,100,Disagree,40,Agree,80,Agree,80,Strongly agree,100,Strongly agree,100,Good,Other,Nothing ,No Compliants,Extremely satisfied,100,Nothing ,No Changes
Welder,South Carolina - Florence Shop,Neither agree nor disagree,60,Disagree,40,Neither agree nor disagree,60,Neither agree nor disagree,60,Disagree,40,Disagree,40,WELDING ,Nature of Work,Working 6 to 6,Schedule & Hours,Satisfied,80,,Blank
Part runner,South Carolina - Florence Shop,Agree,80,Disagree,40,Agree,80,Strongly agree,100,Neither agree nor disagree,60,Agree,80,The people,People & Culture,The heat,Working Conditions,Satisfied,80,,Blank
Leadperson,South Carolina - Florence Shop,Strongly agree,100,Strongly disagree,20,Agree,80,Strongly agree,100,Strongly agree,100,Strongly agree,100,Everything ,Nature of Work,Nothing ,No Compliants,Extremely satisfied,100,Nothing ,No Changes
Machine operator,South Carolina - Florence Shop,Strongly agree,100,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Strongly agree,100,The people I work with,People & Culture,The heat ,Working Conditions,Extremely satisfied,100,,Blank
Crane operator,South Carolina - Florence Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Strongly agree,100,Agree,80,Strongly agree,100,Making sure I do a good job at all times ,Accomplishment & Growth,Nothing ,No Compliants,Extremely satisfied,100,Nothing ,No Changes
Part runner,South Carolina - Florence Shop,Agree,80,Disagree,40,Agree,80,Strongly agree,100,Agree,80,Agree,80,The people,People & Culture,I am not sure,No Compliants,Satisfied,80,,Blank
Machine operator,South Carolina - Florence Shop,Strongly agree,100,Agree,80,Agree,80,Strongly agree,100,Agree,80,Strongly agree,100,Good pay and friendly employees ,Pay & Benefits,Outside weather temperature and hours,Working Conditions,Satisfied,80,,Blank
Other,South Carolina - Florence Shop,Agree,80,Strongly agree,100,Strongly agree,100,Strongly agree,100,Disagree,40,Disagree,40,Working Monday-Friday,Pay & Benefits,Working for the hole,Other,Neither satisfied nor dissatisfied,60,Being able to try new things to learn and grow,Training & Career Development
Welder,South Carolina - Florence Shop,Neither agree nor disagree,60,Disagree,40,Disagree,40,Strongly disagree,20,Strongly disagree,20,Agree,80,My crew I work with work with a group of great guys ,People & Culture,The heat,Working Conditions,Satisfied,80,Upgrade some some things ,Improved Equipment & Working Conditions
Machine operator,South Carolina - Florence Shop,Strongly agree,100,Disagree,40,Agree,80,Agree,80,Neither agree nor disagree,60,Strongly agree,100,The hard work it takes,Nature of Work,Last minute hour changes,Schedule & Hours,Extremely satisfied,100,,Blank
Leadperson,South Carolina - Florence Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Strongly agree,100,Strongly agree,100,Strongly agree,100,Everything ,Nature of Work,Not much ,No Compliants,Satisfied,80,,Blank
Machine operator,South Carolina - Florence Shop,Strongly agree,100,Disagree,40,Agree,80,Strongly agree,100,Agree,80,Agree,80,The feeling of doing a good job,Accomplishment & Growth,Machine not running as designed,Equipment & Resources,Extremely satisfied,100,Better explanation from the back checkers why something was right when cutting material. ,Work Policy & Culture
Welder,South Carolina - Florence Shop,Strongly agree,100,Neither agree nor disagree,60,Neither agree nor disagree,60,Strongly agree,100,Strongly disagree,20,Disagree,40,Welding ,Nature of Work,Favoritism ,Management & Leadership,Neither satisfied nor dissatisfied,60,Value each employee the same ,Work Policy & Culture
Machine operator,South Carolina - Florence Shop,Strongly agree,100,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,The pay,Pay & Benefits,The heat,Working Conditions,Satisfied,80,,Blank
Leadperson,South Carolina - Florence Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Strongly agree,100,Working with good people ,People & Culture,Working in the heat,Working Conditions,Satisfied,80,Climate controlled work environment ,Improved Equipment & Working Conditions
Welder,South Carolina - Florence Shop,Agree,80,Disagree,40,Strongly agree,100,Agree,80,Agree,80,Strongly agree,100, My coworkers ,People & Culture,Communicating ,Management & Leadership,Satisfied,80,,Blank
Crane operator,South Carolina - Florence Shop,Disagree,40,Strongly agree,100,Strongly agree,100,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,The money 💰 ,Pay & Benefits,Bad workers get the praise.  And the good ones take the slack. No family should work in same department ,People & Culture,Satisfied,80,Done seen one man get hurt on a forklift. That should've been out of service. Both cylinders were leaking down. Then I had to get on the same lift months later. And it still wasn't fix,Improved Equipment & Working Conditions
Forklift operator,South Carolina - Florence Shop,Strongly agree,100,Agree,80,Agree,80,Agree,80,Agree,80,Agree,80,Lunch ,Pay & Benefits,Heat,Working Conditions,Extremely satisfied,100,More time off,Schedule & Work-Life Balance
Forklift operator,South Carolina - Florence Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,I enjoy the work environment. I also feel valued,People & Culture,The dust,Working Conditions,Extremely satisfied,100,I sure would love some ac in the forklift to escape that dust ,Improved Equipment & Working Conditions
Crane operator,South Carolina - Florence Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,Employee growth ,Accomplishment & Growth,Work shortages ,Schedule & Hours,Satisfied,80,,Blank
Welder,South Carolina - Florence Shop,Agree,80,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Certain coworkers at the job ,People & Culture,When tht work is slow,Schedule & Hours,Extremely satisfied,100,Nothing ,No Changes
Welder,South Carolina - Florence Shop,Agree,80,Agree,80,Agree,80,Agree,80,Agree,80,Agree,80,Overtime,Pay & Benefits,Na,No Compliants,Satisfied,80,,Blank
Crane operator,South Carolina - Florence Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,How everyone treats u like family ,People & Culture,Noting,No Compliants,Extremely satisfied,100,Noting ,No Changes
Welder,South Carolina - Florence Shop,Strongly agree,100,Agree,80,Strongly agree,100,Agree,80,Agree,80,Strongly agree,100,Leaving ,Other,The heat ,Working Conditions,Satisfied,80,,Blank
Crane operator,South Carolina - Florence Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Strongly agree,100,The constant work,Nature of Work,Whenever work gets slow,Schedule & Hours,Satisfied,80,,Blank
Leadperson,South Carolina - Florence Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,The pay,Pay & Benefits,Stress,Other,Satisfied,80,,Blank
Leadperson,South Carolina - Florence Shop,Agree,80,Agree,80,Strongly agree,100,Strongly agree,100,Agree,80,Strongly agree,100,Great people to work for,People & Culture,Water truck needs to be fixed,Equipment & Resources,Extremely satisfied,100,Things need to stay fixed!!,Improved Equipment & Working Conditions
Welder,South Carolina - Florence Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Coworkers,People & Culture,Heat,Working Conditions,Satisfied,80,Higher pay and nothing else,Better Pay & Benefits
Forklift operator,South Carolina - Florence Shop,Strongly agree,100,Agree,80,Agree,80,Strongly agree,100,Agree,80,Strongly agree,100,Opportunity ,Accomplishment & Growth,"Heat, Dust",Working Conditions,Extremely satisfied,100,I would have tried harder to be a more productive and socialized employee ,Work Policy & Culture
Crane operator,South Carolina - Florence Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,The chance to learn new things.,Accomplishment & Growth,People’s patience ,People & Culture,Satisfied,80,,Blank
Crane operator,South Carolina - Florence Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Pays the bills,Pay & Benefits,Not sure but I like my job,No Compliants,Satisfied,80,,Blank
Welder,South Carolina - Florence Shop,Strongly disagree,20,Neither agree nor disagree,60,Strongly disagree,20,Strongly disagree,20,Strongly disagree,20,Strongly disagree,20,Nothing ,Other,"Leadership,  management,  and communication needs help",Management & Leadership,Neither satisfied nor dissatisfied,60,Communication needs help and separation needs to come together ,Leadership Improvement
Welder,South Carolina - Florence Shop,Agree,80,Strongly agree,100,Agree,80,Agree,80,Agree,80,Agree,80,Freedom to learn. I hired on as a welder.  But I've been doing fitting as well. And I like the overtime i can get because I really need it.,Accomplishment & Growth,the lazy people I work with,People & Culture,Extremely satisfied,100,Id love to get chance certified.  Id like more money per hour. Just for what i know im worth. I end up doing more than most my crew but im about the lowest paid.   ,Training & Career Development
Welder,South Carolina - Florence Shop,Strongly agree,100,Disagree,40,Agree,80,Neither agree nor disagree,60,Agree,80,Strongly agree,100,Overtime,Pay & Benefits,We need better ventilation in the shop.,Working Conditions,Extremely satisfied,100,Give me 40 an hour,Schedule & Work-Life Balance
Machine operator,South Carolina - Florence Shop,Strongly agree,100,Agree,80,Agree,80,Strongly agree,100,Agree,80,Strongly agree,100,Learning new things,Accomplishment & Growth,Weather,Working Conditions,Satisfied,80,Working  environment ,Improved Equipment & Working Conditions
Forklift operator,South Carolina - Florence Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Agree,80,Co workers,People & Culture,Dust,Working Conditions,Satisfied,80,A/c in forklift ,Improved Equipment & Working Conditions
Machine operator,South Carolina - Florence Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Payday,Pay & Benefits,Working saturdays,Schedule & Hours,Satisfied,80,,Blank
Detail coordinator,South Carolina - Florence Shop,Strongly agree,100,Neither agree nor disagree,60,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Strongly agree,100,The people,People & Culture,The heat,Working Conditions,Satisfied,80,,Blank
Forklift operator,South Carolina - Florence Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,The work family ,People & Culture,Nothing ,No Compliants,Extremely satisfied,100,Nothing ,No Changes
Welder,South Carolina - Rock Hill Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Strongly disagree,20,Agree,80,Coworkers,People & Culture,Hot work that wasn’t done prior to my shift,Working Conditions,Satisfied,80,Glav work coming in and out of the shop,Improved Equipment & Working Conditions
